,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,4,4,4,4,4,4,4
total,1060,1060,1060,1060,1060,1060,1060
correct,1020,969,898,855,854,923,942
accuracy,0.9622641509433962,0.9141509433962264,0.8471698113207548,0.8066037735849056,0.8056603773584906,0.870754716981132,0.8886792452830189
true_error_count,15,31,96,46,106,67,118
unknown_count,25,60,66,159,100,70,0
error_m_to_f,15,23,36,10,10,5,117
error_m_to_u,14,33,26,47,3,9,0
error_f_to_m,0,8,60,36,94,61,1
error_f_to_u,11,27,40,112,97,61,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,0,0,0
error_f_to_n,0,0,0,0,2,1,0
