,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,2,2,2,2,2,2,2
total,1118,1118,1118,1118,1118,1118,1118
correct,1021,991,937,693,669,823,936
accuracy,0.9132379248658319,0.8864042933810375,0.8381037567084079,0.6198568872987478,0.5983899821109123,0.7361359570661896,0.8372093023255814
true_error_count,61,83,106,160,313,160,182
unknown_count,36,44,75,265,136,135,0
error_m_to_f,4,20,27,4,23,13,123
error_m_to_u,13,22,26,60,59,61,0
error_f_to_m,4,10,28,113,233,88,1
error_f_to_u,18,17,42,190,71,64,0
error_d_to_m,10,21,18,28,26,20,17
error_d_to_f,43,32,33,15,23,23,41
error_d_to_u,5,5,7,15,6,10,0
error_m_to_n,0,0,0,0,4,4,0
error_f_to_n,0,0,0,0,1,7,0
