,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,1,1,1,1,1,1,1
total,1118,1118,1118,1118,1118,1118,1118
correct,1010,989,923,707,665,815,911
accuracy,0.9033989266547406,0.8846153846153846,0.8255813953488372,0.6323792486583184,0.5948121645796064,0.7289803220035778,0.8148479427549195
true_error_count,69,86,115,157,303,162,207
unknown_count,39,43,80,254,150,141,0
error_m_to_f,8,22,29,7,25,14,143
error_m_to_u,17,22,32,58,60,57,0
error_f_to_m,6,8,32,105,223,91,6
error_f_to_u,19,19,44,183,81,72,0
error_d_to_m,12,22,22,32,25,19,19
error_d_to_f,43,34,32,13,22,24,39
error_d_to_u,3,2,4,13,9,12,0
error_m_to_n,0,0,0,0,4,3,0
error_f_to_n,0,0,0,0,2,8,0
