,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,1,1,1,1,1,1,1
total,1118,1118,1118,1118,1118,1118,1118
correct,614,645,571,557,513,536,639
accuracy,0.5491949910554562,0.5769230769230769,0.5107334525939177,0.49821109123434704,0.4588550983899821,0.47942754919499103,0.5715563506261181
true_error_count,439,408,434,403,434,428,479
unknown_count,65,65,113,158,171,154,0
error_m_to_f,38,62,44,15,40,31,217
error_m_to_u,26,31,51,45,73,66,0
error_f_to_m,351,293,341,341,333,341,204
error_f_to_u,31,29,53,102,91,77,0
error_d_to_m,27,30,25,42,23,24,13
error_d_to_f,23,23,24,5,26,19,45
error_d_to_u,8,5,9,11,7,11,0
error_m_to_n,0,0,0,0,3,4,0
error_f_to_n,0,0,0,0,7,5,0
