,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,3,3,3,3,3,3,3
total,1060,1060,1060,1060,1060,1060,1060
correct,670,932,603,595,528,555,927
accuracy,0.6320754716981132,0.879245283018868,0.5688679245283019,0.5613207547169812,0.4981132075471698,0.5235849056603774,0.8745283018867924
true_error_count,348,61,387,331,455,446,133
unknown_count,42,67,70,134,77,59,0
error_m_to_f,40,10,52,21,32,25,127
error_m_to_u,19,33,34,50,33,26,0
error_f_to_m,308,51,335,310,414,417,6
error_f_to_u,23,34,36,84,44,33,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,4,1,0
error_f_to_n,0,0,0,0,5,3,0
