,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,2,2,2,2,2,2,2
total,1118,1118,1118,1118,1118,1118,1118
correct,980,957,764,696,542,704,926
accuracy,0.8765652951699463,0.8559928443649374,0.6833631484794276,0.6225402504472272,0.4847942754919499,0.629695885509839,0.8282647584973166
true_error_count,100,105,251,175,414,286,192
unknown_count,38,56,103,247,162,128,0
error_m_to_f,12,18,32,9,34,33,123
error_m_to_u,13,26,40,58,65,44,0
error_f_to_m,37,40,173,119,328,203,11
error_f_to_u,18,19,51,178,81,70,0
error_d_to_m,35,24,19,40,24,21,19
error_d_to_f,16,23,27,7,16,21,39
error_d_to_u,7,11,12,11,16,14,0
error_m_to_n,0,0,0,0,2,4,0
error_f_to_n,0,0,0,0,8,2,0
