,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,4,4,4,4,4,4,4
total,1060,1060,1060,1060,1060,1060,1060
correct,996,959,781,811,558,642,949
accuracy,0.939622641509434,0.9047169811320754,0.7367924528301887,0.7650943396226415,0.5264150943396226,0.6056603773584905,0.8952830188679245
true_error_count,27,45,198,71,419,356,111
unknown_count,37,56,81,178,83,62,0
error_m_to_f,11,6,34,10,32,11,109
error_m_to_u,19,27,35,65,40,25,0
error_f_to_m,16,39,164,61,379,338,2
error_f_to_u,18,29,46,113,43,37,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,4,3,0
error_f_to_n,0,0,0,0,4,4,0
