Bezeichnung;Code
3-D-Artist	;23224
3-D-Designer/in	;23223
3-D-Druck-Spezialist/in	;27103
Abbrucharbeiter/in	;32101
Abdichter/in (Dachdeckerei)	;33232
Abdichtungspolier/in (Bauwerks- und Asphaltabdichtung)	;33393
Abfallbeauftragte/r	;42324
Abfallberater/in	;42313
Abfallbeseitiger/in	;34301
Abfalltechniker/in	;34333
Abfalltechniker/in in Schulung, Einweisung, Fortbildung	;84483
Abfallwirtschaftsberater/in	;34333
Abfallwirtschaftsingenieur/in	;34334
Abfüller/in	;51311
Abfüllmaschinenbediener/in	;51311
Abgeordnete/r	;71214
Abgleicher/in (Nachrichtentechnik)	;26312
Abiturientenberater/in	;71524
Abkantpresser/in	;24212
Ablauforganisator/in	;71314
Ableser/in (Gas, Strom, Wasser)	;25131
Abnahmefahrer/in	;27312
Abnahmelokomotivführer/in	;52202
Abpacker/in	;51311
Abpackmaschinenbediener/in	;51312
Abraumbaggerführer/in	;52522
Absatz- und Werbewirtschaftler/in	;92113
Absatzplaner/in	;61124
Abschleifer/in (Metallschleifen)	;24222
Abschnittsleiter/in (Sozialversicherung)	;73293
Absetzapparateführer/in	;25122
Absprenger/in (Naturstein)	;21122
Abspüler/in	;63301
ABS-Spezialist/in (Fondsmanager/in)	;72124
Abt/Äbtissin	;83333
Abteilungskellner/in	;63303
Abteilungsleiter/in - Gewerbeaufsicht	;53394
Abteilungsleiter/in - Statistik	;41194
Abteilungsleiter/in (Bauzeichenbüro)	;27293
Abteilungsleiter/in (Brennerei)	;29193
Abteilungsleiter/in (Fleisch - Wurst - Fleischwirtschaft)	;29294
Abteilungsleiter/in (Hüttentechnik)	;24193
Abteilungsleiter/in (Keramische Industrie)	;21493
Abteilungsleiter/in (Korrosionsschutztechnik)	;24393
Abteilungsleiter/in (Kunststoff- u. Kautschuktechnik)	;22193
Abteilungsleiter/in (Kunststoff)	;22193
Abteilungsleiter/in (Lackiererei/Oberflächenbehandlung)	;22293
Abteilungsleiter/in (Maschinenbau)	;25194
Abteilungsleiter/in (Metall- u. Schiffbautechnik)	;24493
Abteilungsleiter/in (Metallographie)	;41494
Abteilungsleiter/in (Milchwirtschaft)	;29294
Abteilungsleiter/in (Musikschule)	;84494
Abteilungsleiter/in (Versicherung)	;72194
Abteilungsleiter/in (Wach- u. Sicherheitsgewerbe)	;53194
Abteilungsleiter-Assistent/in	;71403
Abteilungsmeister/in (Schuhindustrie)	;28393
Abteilungspräsident/in	;73294
Abteilungssteiger/in	;21113
Abwasseranlagenwärter/in	;34312
Abwasserberater/in	;34313
Abwasserkontrolleur/in	;34312
Abwassermeister/in	;34393
Abwassertechniker/in	;34313
Abwassertechniker/in in Schulung, Einweisung, Fortbildung	;84483
Abwieger/in (Versandfertigmacher/in)	;51311
Account Manager/in IT	;43233
Accounting Clerk	;72213
Accounting Manager/in	;72214
Account-Manager/in	;92133
Achatpolierer/in	;93522
Achatschleifer/in	;93522
Achsendreher/in	;24232
Achslagerprüfer/in (Bahn)	;51112
Ackerarbeiter/in	;11101
Ackerbauer/-bäuerin	;11102
Ackergehilf(e/in)	;11101
Action-Darsteller/in	;94214
Ad Sales Manager/in	;92382
ADAS/AD Engineer	;27184
Adremadrucker/in	;23412
Adressendrucker/in	;23412
Aerobic-Gymnastik-Übungsleiter/in	;84553
Aerobic-Lehrer/in	;84553
Aerobic-Trainer/in	;84553
Aerologe/Aerologin	;42144
Affiliate-Manager/in	;92113
Afrikanist/in	;91184
Agenturleiter/in - Versicherung	;72194
Aggregatebauer/in (Elektromaschinen)	;26222
Agiler Coach / Scrum Master	;71393
Agrarbetriebswirt/in	;11193
Agrarbiolog(e/in) (chemisch-pharmazeutischen Industrie)	;41234
Agrarbiolog(e/in) (Lebensmittelindustrie/Agrarbiologin)	;41234
Agrarbiolog(e/in) (Natur- u. Landschaftsschutz)	;41234
Agrarbiologe/-biologin	;41234
Agrarbiologe/-biologin (Uni)	;41234
Agrarfachwirt/in - Rechnungswesen	;72213
Agrarinformatiker/in	;11183
Agrarinformatiktechniker/in	;11183
Agraringenieur/in	;11104
Agraringenieur/in - Pflanzenproduktion	;11184
Agraringenieur/in - Wirtschaftswissenschaften	;11184
Agraringenieur/in (FS) - Landwirt. Pflanzenprodukt.	;11183
Agraringenieur/in (FS) - Landwirt. Tierproduktion	;11213
Agraringenieur/in (FS) - Landwirt. Versuchsw.(Pflanzenprod.)	;11183
Agraringenieur/in (FS) - Landwirt. Versuchswesen (Tierpr.)	;11213
Agraringenieur/in (FS) - Saat- und Pflanzenprodukte	;11183
Agraringenieur/in (FS) - Techn. d. industriem.Tierproduktion	;11213
Agraringenieur/in (FS) - Techn.d.industr. Pflanzenproduktion	;11183
Agrarlaborant/in	;11132
Agrarökologe/-ökologin	;11724
Agrarökonom/in	;11104
Agrarservice-Fachkraft	;11102
Agrarservicemeister/in	;11193
Agrart.Ass.(staatl.gepr.)-Agrarw.Milchw.u.Lebensmittel.	;11132
Agrartechniker/in - Landbau	;11113
Agrartechnische/r Ass. (staatl.gepr.) - Fleischwirtschaft	;11132
Agrartechnische/r Assistent/in	;11132
Agrarwirt/in - Baumpflege und Baumsanierung	;12143
Agrarwirt/in - Besamungswesen	;81143
Agrarwirt/in - Klauenpflege	;11213
Agrarwirtschafter/in	;11193
Agrarwirtschaftler/in	;11193
Agrarwirtschaftlich-technische/r Assistent/in	;11132
Agrarwirtschaftsingenieur/in	;11104
Agrarwissenschaftler/in / Agrarökonom/in	;11104
Agrikulturchemiker/in	;41384
Agrochemiker/in	;11182
Agrotechniker/in/Mechanisator/in	;11102
Ägyptologe/Ägyptologin	;91224
Aids-Berater/in	;83154
Air Hostess	;51422
Akademiedirektor/in	;84394
Akademieleiter/in	;84394
Akademische/r Arbeitsberater/in	;71523
Akademische/r Direktor/in (Hochschule)	;84304
Akkordeonbauer/in	;93682
Akkordeonbauer/in - Restaurator/in	;93683
Akkordeonfacharbeiter/in	;93682
Akkordeonlehrer/in	;84414
Akkreditivsachbearbeiter/in	;72113
Akkumonteur/in	;26301
Akkumulatorenbauer/in	;26301
Akquisiteur/in (Kreditgeschäft)	;72123
Akrobat/in	;94283
Aktenverwalter/in	;73312
Aktienanalyst/in	;72144
Aktienfondsmanager/in	;72124
Aktienhändler/in	;72123
Aktuar/in	;41184
Akupunkteur/in	;81753
Akustiker/in	;41484
Akustiker/in (Hörgeräte)	;82532
Akustikmeister/in	;33393
Akustikmonteur/in	;33302
Akustikphysiker/in	;41484
Akustikschreiner/in	;33332
Akzidenzsetzer/in	;23212
Akzidenzstereotypeur/in	;23212
Alarmanlagenmonteur/in	;26312
Alarmanlagentechniker/in	;53183
Albanologe/Albanologin	;91144
Albenportefeuiller/in	;28322
Albummacher/in	;23422
Algesiologe/Algesiologin	;81454
Alleinkoch/-köchin	;29302
Alleinmaschinist/in - Schiff (mit Einschr.)	;51133
Alleinoffizier/in (auf Schiff)	;52413
Alleinsteuermann/-frau	;52413
Alleinunterhalter/in	;94303
Allergie-Ernährungsberater/in	;82233
Allfinanzberater/in	;72123
Allgemeinarzt/-ärztin	;81404
Allgemeinchirurg/in	;81434
Alltagsbetreuer/in	;83142
Almbauer/-bäuerin	;11182
Altbauerneuerungstechniker/in	;31153
Altbausanierer/in	;31152
Altbierbrauer/in	;29112
Altenbetreuer/in	;82102
Altenbetreuerhelfer/in	;82101
Altenheimleiter/in	;82194
Altenpflegeassistent/in	;82101
Altenpflegefachwirt/in	;73223
Altenpflegehelfer/in	;82101
Altenpflegehelfer/in - ambulanten Altenhilfe	;82101
Altenpflegehilfskraft	;82101
Altenpfleger/in	;82102
Altenpfleger/in - gerontopsychiatrischen Abteilung	;82182
Altenpfleger/in - Onkologie	;82183
Altenpfleger/in - Rehabilitation	;82183
Altenpflegeschulleiter/in	;84294
Altentagesstättenleiter/in	;82194
Altentherapeut/in	;81723
Altenzentrumsleiter/in	;82194
Alterswissenschaftler/in	;91384
Altertumsforscher/in	;91234
Altertumskundler/in	;91234
Altertumswissenschaftler/in	;91234
Altpapierzerfaserer/-zerfaserin	;23112
Altphilologe/-philologin	;91174
Aluminiumdrucker/in	;23412
Aluminiumfolienmacher/in	;24122
Aluminiumformer/in	;24142
Aluminiumgießer/in	;24142
Aluminiumschläger/in	;93522
Aluminiumschlägermeister/in	;93593
Aluminiumspritzer/in	;24302
Amateurreitlehrer/in	;84583
Ambossschmied/in	;24412
Ambulante/r Krankenschwester/-pfleger	;81382
Ambulante/r Pfleger/in	;82182
Ambulanzfahrer/in	;52182
Ambulanzschwester/-pfleger	;81382
Amerikaformer/in	;24142
Amerikanist/in	;91124
Amethystschleifer/in	;93522
Amtliche/r Fachassistent/in (Fleischkontrolleur/in)	;53332
Amtliche/r Kontrollassistent/in (Lebensmittelüberwachung)	;53332
Amtsanwalt/-anwältin	;73253
Amtsbote/-botin	;51321
Amtsnotar/in	;73124
Amtsrichter/in	;73154
Analyst/in (Finanzen)	;72144
Analytiker/in - Chemie	;41384
Analytische/r Kinder- u. Jugendlichenpsychotherapeut/in	;81634
Anaplastologe/Anaplastologin	;82514
Anästhesieschwester/-pfleger	;81313
Anästhesietechnische/r Assistent/in	;81332
Anästhesist/in	;81454
Anatom/in	;41274
Anatomische/r Assistent/in	;41222
Änderungsnäher/in	;28222
Änderungsschneider/in	;28222
Änderungs-Werkstattleiter/in (Bekleidung)	;28293
Andreher/in (Webvorbereitung)	;28122
Anfänger/in (Bühne/Film/Fernsehen)	;94283
Angebotskalkulator/in	;72223
Angebotssachbearbeiter/in (Kalkulator/in)	;72223
Angehörige/r geistlicher Orden u. Mutterhäuser	;83332
Angelgerätebauer/in	;27282
Angestellte/r - Bundesanstalt für Arbeit	;73212
Anglist/in / Amerikanist/in	;91124
Anhängerbauer/in (Fahrzeugbau)	;25212
Anilindrucker/in	;23412
Animateur/in - Freizeit	;63132
Animateur/in - Hotel- und Kurbetrieb	;63132
Animationskünstler/in	;94303
Animationszeichner/in	;93323
Ankerschließer/in	;26301
Ankerwickler/in (Elektromaschinenbau)	;26222
Ankleider/in / Garderobier/e	;94622
Anknüpfer/in	;28101
Anlageberater/in	;72124
Anlagen- und Apparatebauer/in	;34342
Anlagenbauer/in	;34342
Anlagenbautechniker/in	;34343
Anlagenbuchhalter/in	;72213
Anlagenelektriker/in (Elektroanlageninstallation)	;26252
Anlagenelektroniker/in	;26252
Anlagenfahrer/in - Chemiebetrieb	;41312
Anlagenführer/in - Ganzstoffherstellung	;23112
Anlagenführer/in - Nahrungsmittelindustrie	;29202
Anlagenführer/in - Ölraffinerie	;41312
Anlagengärtner/in	;12142
Anlageningenieur/in (Elektro)	;26304
Anlageninstallateur/in (Telekommunikationstechnik)	;26312
Anlagenkonstrukteur/in	;27223
Anlagenmechaniker/in	;34342
Anlagenmechaniker/in - Apparatetechnik	;34342
Anlagenmechaniker/in - Sanitär-, Heizungs- und Klimatechnik	;34212
Anlagenmechaniker/in - Schweißtechnik	;24422
Anlagenmechaniker/in - Versorgungstechnik	;34302
Anlagenmonteur/in	;25102
Anlagenmonteur/in (Telekommunikationstechnik)	;26312
Anlagenplaner/in	;27223
Anlagenreiniger/in	;54142
Anlagenschweißer/in	;24422
Anlagentechniker/in	;34343
Anlagentechnikkonstrukteur/in	;27223
Anlagenwärter/in (Erdöl-, Erdgasgewinnung)	;21112
Annehmer/in (Textilreinigung)	;54132
Annoncenvertreter/in	;92382
Annonceur/in	;63382
Anorganiker/in	;41384
Anreißer/in (Blechverformung)	;24212
Ansager/in (Flug-, Zugansage)	;51412
Ansager/in (Hörfunk, Fernsehen)	;94334
Anschläger/in	;52532
Ansichtsmodellbauer/in	;27232
Ansichtsmodellbauerhelfer/in	;22301
Anstreicher/in	;33212
Antennenbauer/in	;26312
Antennenbautechniker/in	;26312
Antennenmonteur/in	;26312
Antennenwärter/in	;26312
Antikschreiner/in	;22342
Antiquariatsbuchhändler/in	;62512
Antiquitätenhändler/in	;62522
Antiquitätenschätzer/in	;94724
Antiquitätenverkäufer/in	;62522
Anwaltsbürovorsteher/in	;73113
Anwaltsgehilfe/-gehilfin	;73112
Anwaltsnotar/in	;73124
Anwaltssekretär/in	;73112
Anwendersoftwareberater/in	;43223
Anwendungsanalytiker/in (EDV)	;43214
Anwendungsberater/in	;43223
Anwendungsberater/in - Kachelofen- u. Luftheizungsbau	;34222
Anwendungsberater/in (Elektromaschinenmontage)	;26222
Anwendungsentwickler/in	;43413
Anwendungsprogrammierer/in	;43423
Anwendungssoftwareberater/in	;43223
Anwendungssystemadministrator/in	;43343
Anwendungssystemberater/in	;43223
Anwendungstrainer/in	;84444
Anzeichner/in (Bekleidungsindustrie)	;28222
Anzeigenagent/in	;92382
Anzeigenakquisiteur/in	;92382
Anzeigenberater/in (Verlag)	;92382
Anzeigendisponent/in	;92382
Anzeigenfachberater/in	;92382
Anzeigenleiter/in	;92383
Anzeigensachbearbeiter/in	;92382
Anzeigensetzer/in	;23212
Anzeigenverkäufer/in	;92382
Anzeigenverkaufsberater/in	;92382
Anzeigenvermittler/in	;92382
Apothekenbetriebswirt/in	;71383
Apothekenfacharbeiter/in	;62412
Apothekenhelfer/in	;62412
Apothekenlaborant/in	;81822
Apothekenleiter/in	;81894
Apothekenschwester/-pfleger	;81822
Apothekenverwalter/in	;81894
Apotheker/in	;81804
Apotheker/in (ohne Fachapothekerweiterbildung)	;81804
Apotheker/in (Uni)	;81804
Apothekerassistent/in	;81822
Apparatebauer/in	;34342
Apparatebaumeister/in	;34393
Apparatefeinbauer/in	;24512
Apparateführer/in (Druckereihelfer/in)	;23411
Apparateisolierer/in	;33312
Apparateklempner/in	;34342
Apparatereiniger/in	;54142
Apparateschmied/in	;34342
Apparateschweißer/in	;24422
Apparatewärter/in (Lebensmittelherstellung)	;29202
Application-Engineer/-Manager/in	;61124
Applikationsprogrammierer/in	;43423
Appretierer/in (Lederherstellung)	;28312
Appretur - Textilveredler/in	;28142
Appreturfacharbeiter/in	;28142
Appreturtechniker/in	;28143
Aquarelldrucker/in	;23412
Aquarienwärter/in	;11522
Aquariumbauer/in	;33342
Arabist/in	;91154
Arbeits- und Beschäftigungstherapeut/in	;81723
Arbeits- und Betriebsmittelplaner/in	;27303
Arbeitsassistent/in	;83131
Arbeitsbegleiter/in	;81722
Arbeitsberater/in (FH)	;71523
Arbeitserzieher/in	;83133
Arbeitsgestalter/in	;27303
Arbeitsgestaltungsingenieur/in	;27304
Arbeitshygieneinspektor/in	;53323
Arbeitsjurist/in	;73184
Arbeitskräftedisponent/in	;71523
Arbeitslosenbetreuer/in	;83124
Arbeitsmarktmanager/in	;71523
Arbeitsmarktorientierte/r Berater/in	;71524
Arbeitsmediziner/in	;81484
Arbeitsmedizinische/r Assistent/in	;81183
Arbeitsmedizinische/r Fachassistent/in	;81183
Arbeitsökonom/in	;91484
Arbeitsorganisations- und Arbeitsgestaltungstechniker/in	;27303
Arbeitspädagoge/-pädagogin	;83123
Arbeitsplanungsingenieur/in	;27304
Arbeitsplatz-Auditor/in	;53123
Arbeitspsychologe/-psychologin	;81614
Arbeitsschutzingenieur/in	;53124
Arbeitsschutzinspektor/in	;53123
Arbeitsstudieningenieur/in	;27304
Arbeitsstudientechniker/in	;27303
Arbeitstherapeut/in	;81723
Arbeitsvermittler/in	;71523
Arbeitsvorbereiter/in	;27303
Arbeitsvorbereiter/in (Rechenzentrum)	;43383
Arbeitswissenschaftler/in	;91384
Arbitrageur/in	;72123
Archäologe/Archäologin	;91234
Archäometer/in	;91234
Architekt/in	;31114
Architekturfotograf/in	;23322
Architekturmaler/in (Glas-, Kerammaler/in)	;93422
Architekturmaler/in (Kunstmaler/in)	;93323
Architekturmodellbauer/in	;27232
Architekturzeichner/in	;27212
Archivar/in	;73314
Archivar/in (FS)	;73313
Archivbeamt(er/in) (geh. nichttechn. Dienst)	;73313
Archivbeamt(er/in) (höh. nichttechn. Dienst)	;73314
Archivfachkraft	;73312
Archivhelfer/in	;71401
Archivleiter/in	;73394
Archivrestaurator/in	;23423
Archivsachbearbeiter/in	;73312
Area Sales Manager/in	;61194
Armaturendreher/in	;24232
Armaturenpolierer/in	;24222
Armbanduhrenmacher/in	;24532
Ärmelarbeiter/in	;28222
Ärmelnäher/in	;28222
Armiermaschinenarbeiter/in	;24122
Arrangeur/in	;94144
Art Event Manager/in	;63403
Art-Buyer (Werbung)	;92383
Art-Director	;23294
Artist/in	;94283
Artothekar/in	;62522
Arzneientwickler/in	;81804
Arzneimittelchemiker/in	;41384
Arzneimittelvertreter/in	;81883
Arzneimittelzusteller/in	;52182
Arzt/Ärztin	;81404
Arzt/Ärztin - Allgemeinmedizin	;81404
Arzt/Ärztin - Anästhesiologie und Intensivtherapie	;81454
Arzt/Ärztin - Anatomie	;81214
Arzt/Ärztin - Arbeitsmedizin	;81484
Arzt/Ärztin - Augenheilkunde	;81444
Arzt/Ärztin - Biochemie	;81214
Arzt/Ärztin - Blutspende- und Transfusionswesen	;81214
Arzt/Ärztin - Chirurgie	;81434
Arzt/Ärztin - Frauenheilkunde und Geburtshilfe	;81444
Arzt/Ärztin - Haut- und Geschlechtskrankheiten	;81444
Arzt/Ärztin - Humangenetik	;81484
Arzt/Ärztin - Hygiene	;81484
Arzt/Ärztin - Innere Medizin	;81424
Arzt/Ärztin - Kinderchirurgie	;81434
Arzt/Ärztin - Laboratoriumsmedizin	;81214
Arzt/Ärztin - Neurochirurgie	;81434
Arzt/Ärztin - Neurologie	;81464
Arzt/Ärztin - Nuklearmedizin	;81234
Arzt/Ärztin - öffentliches Gesundheitswesen	;81484
Arzt/Ärztin - Orthopädie	;81434
Arzt/Ärztin - Pathologie	;81214
Arzt/Ärztin - Pharmakologie und Toxikologie	;81814
Arzt/Ärztin - Physiologie	;81484
Arzt/Ärztin - Praktikum (nichtoperativer Bereich)	;81404
Arzt/Ärztin - Praktikum (operativer Bereich)	;81404
Arzt/Ärztin - Praktikum (Verwaltung-Begutachtung)	;81404
Arzt/Ärztin - Psychiatrie	;81464
Arzt/Ärztin - Psychotherapie	;81464
Arzt/Ärztin - Radiologie	;81234
Arzt/Ärztin - Urologie	;81444
Arztassistent/in / Physician Assistant	;81333
Arztfachhelfer/in	;81103
Arztfachhelfer/in - Gesundheitserziehung	;81183
Arzthelfer/in	;81102
Arzthelfer/in - Laborarbeiten	;81102
Arzthelfer/in (Büro u. Verwaltung)	;81102
Ärztliche/r Direktor/in (Tierarzt/-ärztin)	;81594
Ärztliche/r Psychotherapeut/in	;81464
Arztsekretär/in	;73222
Asphalt- u. Teerkocher/in	;32201
Asphaltabdichter/in	;32222
Asphaltbauer/in	;32222
Asphalteur/in	;32222
Asphaltierer/in (nicht Straßenbau)	;33232
Asphaltierervorarbeiter/in	;32222
Asphaltstraßenarbeiter/in	;32201
Assekuranzmakler/in	;72133
Assekuranzvertreter/in	;72133
Asset-Manager/in	;72124
Assistant Controller/in	;72233
Assistent/in - Agrar- und Umwelttechnik (Laborant/in)	;11132
Assistent/in - Aufnahmeleitung	;94402
Assistent/in - Auslandsgeschäft	;61212
Assistent/in - Außenhandel	;61212
Assistent/in - Automatisierungs- und Computertechnik	;43122
Assistent/in - Automatisierungstechnik	;26122
Assistent/in - Behindertenpflege	;83131
Assistent/in - Bekleidung/Modedesign	;28212
Assistent/in - Bekleidungstechnik	;28222
Assistent/in - Beschaffungswesen	;61112
Assistent/in - Betriebsleitung im Gartenbau	;12102
Assistent/in - Bibliotheken	;73322
Assistent/in - Biotechnologie	;41212
Assistent/in - Computertechnik	;43122
Assistent/in - Controlling	;72233
Assistent/in - Datentechnik	;43122
Assistent/in - Datenverarbeitung (Bauwesen)	;31102
Assistent/in - Datenverarbeitungstechnik	;43102
Assistent/in - Design und visuelle Kommunikation	;23222
Assistent/in - Einkauf	;61112
Assistent/in - Einzelhandel	;62102
Assistent/in - Elektronik und Datentechnik	;26312
Assistent/in - Elektrotechnik	;26302
Assistent/in - Ernährung und Versorgung	;83212
Assistent/in - Filmgeschäftsführung	;92382
Assistent/in - Finanzen	;72122
Assistent/in - Fotodesign	;23222
Assistent/in - Fototechnik	;23312
Assistent/in - Freizeitwirtschaft	;63112
Assistent/in - Funktionsdiagnostik	;81222
Assistent/in - Gebäudeservice	;34102
Assistent/in - Geovisualisierung	;31222
Assistent/in - Gestaltungstechnik	;23212
Assistent/in - Gesundheits- und Sozialwesen	;73222
Assistent/in - Gesundheitsdienst	;82213
Assistent/in - Gesundheitstourismus/-prophylaxe	;82222
Assistent/in - Grafik-Design	;23222
Assistent/in - Hotel- und Tourismusmanagement	;63212
Assistent/in - Hotelmanagement	;63212
Assistent/in - Informatik	;43102
Assistent/in - Informatik (allgemeine Informatik)	;43102
Assistent/in - Informatik (Betriebsinformatik)	;43112
Assistent/in - Informatik (Medieninformatik)	;43152
Assistent/in - Informatik (Softwaretechnik)	;43412
Assistent/in - Informatik (technische Informatik)	;43122
Assistent/in - Informatik (Wirtschaftsinformatik)	;43112
Assistent/in - Informations- und Kommunikationstechnik	;43102
Assistent/in - Informationstechnik	;43102
Assistent/in - Informationstechnik/Software	;43412
Assistent/in - Innenarchitektur	;93212
Assistent/in - Internationale Betriebswirtschaft	;71302
Assistent/in - Kamera	;94522
Assistent/in - klinische Studien	;73342
Assistent/in - Konstruktions- und Fertigungstechnik	;27303
Assistent/in - Landwirtschaft	;11102
Assistent/in - Lasertechnik	;24243
Assistent/in - Lebensmitteltechnik	;29202
Assistent/in - Licht- und Tongestaltung	;94512
Assistent/in - Logistik	;51312
Assistent/in - Marketing	;92112
Assistent/in - Maschinenbautechnik	;25103
Assistent/in - Maschinentechnik	;25103
Assistent/in - Mechatronik	;26112
Assistent/in - mechatronische Systeme	;26112
Assistent/in - Medientechnik	;92302
Assistent/in - medizinische Dokumentation	;73342
Assistent/in - medizinische Sektion und Präparation	;41222
Assistent/in - Medizinisch-technisches Laboratorium	;81212
Assistent/in - Medizintechnik	;82502
Assistent/in - Mode und Design	;28212
Assistent/in - Nachrichtentechnik	;26312
Assistent/in - Nuklearmedizin	;81232
Assistent/in - Ohrenheilkunde	;81222
Assistent/in - Operationstechnik	;81332
Assistent/in - Personalwesen	;71513
Assistent/in - Pressestelle	;92203
Assistent/in - Produktdesign	;93102
Assistent/in - Produktionsleitung	;27303
Assistent/in - Radiologie	;81232
Assistent/in - regenerative Energie	;26242
Assistent/in - Rettungsdienst	;81342
Assistent/in - Screen Design	;23222
Assistent/in - Softwaretechnologie	;43412
Assistent/in - Sozialmedizin	;82213
Assistent/in - Sozialpädagogik	;83112
Assistent/in - Sozialpflege	;83142
Assistent/in - Steuerberatung	;72303
Assistent/in - Technische Dokumentation	;73332
Assistent/in - Technische Kommunikation	;73332
Assistent/in - Telemedizin	;73342
Assistent/in - Textil u. Modedesign	;28212
Assistent/in - Textiltechnik	;28102
Assistent/in - Textverarbeitung	;71402
Assistent/in - Tiermedizin	;81242
Assistent/in - Überwach. d. Auslandsfert. (Bekleidungsind.)	;28222
Assistent/in - Umweltschutztechnik	;42202
Assistent/in - Veranstaltungstechnik	;94512
Assistent/in - Verkaufsleitung	;62103
Assistent/in - Vertrieb	;61122
Assistent/in - Veterinärmedizin	;81242
Assistent/in - Wirtschaftsinformatik	;43112
Assistent/in - Wirtschaftsprüfung	;72243
Assistent/in - Zytologie	;81212
Assistent/in (kaufmännisch) - Vertrieb	;61122
Assistent/in (technisch) - Vertrieb	;61122
Assistent/in in der Textilwirtschaft	;28102
Assistent/in/Fachkraft - Rechnungswesen	;72213
Assistenzarzt/-ärztin	;81404
Assistenzarzt/-ärztin - Augenheilkunde	;81444
Assistenzarzt/-ärztin (Uni) - Anästhesiologie	;81454
Assistenzarzt/-ärztin (Uni) - Anatomie	;81214
Assistenzarzt/-ärztin (Uni) - Arbeitsmedizin	;81484
Assistenzarzt/-ärztin (Uni) - Biochemie	;81214
Assistenzarzt/-ärztin (Uni) - Chirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Frauenheil./Geburtsh.	;81444
Assistenzarzt/-ärztin (Uni) - Gefäßchirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Hals-Nasen-Ohrenheilkunde	;81444
Assistenzarzt/-ärztin (Uni) - Haut- u. Geschlechtskrankheit.	;81444
Assistenzarzt/-ärztin (Uni) - Herzchirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Humangenetik	;81484
Assistenzarzt/-ärztin (Uni) - Hygiene u. Umweltmedizin	;81484
Assistenzarzt/-ärztin (Uni) - Innere Med./Allgem.Med	;81404
Assistenzarzt/-ärztin (Uni) - Innere Medizin	;81424
Assistenzarzt/-ärztin (Uni) - Kind./Jgd.psychiat. u. -psycho	;81464
Assistenzarzt/-ärztin (Uni) - Kinder-/Jugendmedizin	;81414
Assistenzarzt/-ärztin (Uni) - Kinderchirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Klinische Pharmakologie	;81814
Assistenzarzt/-ärztin (Uni) - Laboratoriumsmedizin	;81214
Assistenzarzt/-ärztin (Uni) - Mikrob./Virol./Infektionsepid.	;81214
Assistenzarzt/-ärztin (Uni) - Mund-Kiefer-Gesichtschirurgie	;81474
Assistenzarzt/-ärztin (Uni) - Neurochirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Neurologie	;81464
Assistenzarzt/-ärztin (Uni) - Neuropathologie	;81214
Assistenzarzt/-ärztin (Uni) - Nuklearmedizin	;81234
Assistenzarzt/-ärztin (Uni) - Öffentliches Gesundheitswesen	;81484
Assistenzarzt/-ärztin (Uni) - Orthopädie und Unfallchirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Pathologie	;81214
Assistenzarzt/-ärztin (Uni) - Pharmakologie und Toxikologie	;81814
Assistenzarzt/-ärztin (Uni) - Physikal./Rehabilitat.	;81484
Assistenzarzt/-ärztin (Uni) - Physiologie	;81484
Assistenzarzt/-ärztin (Uni) - Plastische Chirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Psychiatrie u. Psychotherapie	;81464
Assistenzarzt/-ärztin (Uni) - Psychosom. Medizin u. Psychoth	;81464
Assistenzarzt/-ärztin (Uni) - Radiologie	;81234
Assistenzarzt/-ärztin (Uni) - Rechtsmedizin	;81214
Assistenzarzt/-ärztin (Uni) - Sprach-, Stimm- u. kindl.Hörst	;81444
Assistenzarzt/-ärztin (Uni) - Strahlentherapie	;81234
Assistenzarzt/-ärztin (Uni) - Thoraxchirurgie	;81434
Assistenzarzt/-ärztin (Uni) - Transfusionsmedizin	;81214
Assistenzarzt/-ärztin (Uni) - Urologie	;81444
Assistenzarzt/-ärztin (Uni) - Viszeralchirurgie	;81434
Assistenz-Kameramann/-frau	;94522
Assistenz-Tanzlehrer/in	;84533
Assistenzzahnarzt/-ärztin	;81474
Astro-/Weltraumphysiker/in (Uni)	;41484
Astrologe/Astrologin	;94383
Astronom/in (Uni)	;41484
Astrophysiker/in	;41484
Astrophysiker/in, Astronom/in	;41484
Atelierfotograf/in	;23322
Atelierleiter/in - Bekleidung	;28294
Atelierleiter/in - Rauchwaren	;28394
Atelierleiter/in - Stickerei	;28194
Atelierleiter/in - Weberei	;28194
Atem-, Sprech- u. Stimmlehrer/in - therapeutischen Bereich	;81733
Atem-, Sprech- und Stimmlehrer/in	;81733
Atem-,Sprech-,Stimmlehrer/in-künstlerisch-musischer Bereich	;81733
Atemlehrer/in	;81733
Atempädagoge/-pädagogin	;81733
Atemtherapeut/in	;81733
Atemtherapiekursleiter/in	;84484
Atlasloge/Atlaslogin	;81753
Atmungsorthopäde/-orthopädin	;81713
Atomphysiker/in	;41484
Atomtechniker/in	;26233
Attrappenmacher/in	;23122
Ätzer/in (Druckformen)	;23212
Audiodesigner/in - Musik	;94183
Audiodeskriptor/in	;92413
Audio-Engineer	;94532
Audiologieassistent/in	;81222
