,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,3,3,3,3,3,3,3
total,1060,1060,1060,1060,1060,1060,1060
correct,653,648,590,571,566,602,642
accuracy,0.6160377358490566,0.6113207547169811,0.5566037735849056,0.5386792452830189,0.5339622641509434,0.5679245283018868,0.6056603773584905
true_error_count,358,348,381,291,374,383,418
unknown_count,49,64,89,198,120,75,0
error_m_to_f,63,82,59,58,52,32,220
error_m_to_u,25,38,46,83,52,39,0
error_f_to_m,295,266,322,233,313,344,198
error_f_to_u,24,26,43,115,68,36,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,6,4,0
error_f_to_n,0,0,0,0,3,3,0
