,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,4,4,4,4,4,4,4
total,1060,1060,1060,1060,1060,1060,1060
correct,942,961,776,789,710,841,871
accuracy,0.8886792452830189,0.9066037735849056,0.7320754716981132,0.7443396226415094,0.6698113207547169,0.7933962264150943,0.8216981132075472
true_error_count,73,52,175,78,238,146,189
unknown_count,45,47,109,193,112,73,0
error_m_to_f,23,24,38,10,34,14,172
error_m_to_u,22,18,45,63,49,38,0
error_f_to_m,50,28,137,68,196,128,17
error_f_to_u,23,29,64,130,63,35,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,6,2,0
error_f_to_n,0,0,0,0,2,2,0
