,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,1,1,1,1,1,1,1
total,1118,1118,1118,1118,1118,1118,1118
correct,613,646,570,558,513,536,638
accuracy,0.5483005366726297,0.5778175313059034,0.5098389982110912,0.4991055456171735,0.4588550983899821,0.47942754919499103,0.5706618962432916
true_error_count,441,407,435,403,435,429,480
unknown_count,64,65,113,157,170,153,0
error_m_to_f,39,62,44,15,40,31,218
error_m_to_u,25,31,51,44,73,68,0
error_f_to_m,352,292,342,341,334,342,204
error_f_to_u,31,29,53,102,90,74,0
error_d_to_m,27,30,25,42,23,24,13
error_d_to_f,23,23,24,5,26,19,45
error_d_to_u,8,5,9,11,7,11,0
error_m_to_n,0,0,0,0,3,4,0
error_f_to_n,0,0,0,0,7,5,0
