,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,2,2,2,2,2,2,2
total,1118,1118,1118,1118,1118,1118,1118
correct,876,820,744,632,546,637,818
accuracy,0.7835420393559929,0.7334525939177102,0.6654740608228981,0.5652951699463328,0.4883720930232558,0.5697674418604651,0.7316636851520573
true_error_count,204,238,286,250,425,357,300
unknown_count,38,60,88,236,147,124,0
error_m_to_f,31,35,42,12,36,32,155
error_m_to_u,18,23,34,69,66,55,0
error_f_to_m,122,154,191,189,343,278,87
error_f_to_u,13,28,49,158,67,57,0
error_d_to_m,31,33,32,44,28,25,18
error_d_to_f,20,16,21,5,12,17,40
error_d_to_u,7,9,5,9,14,12,0
error_m_to_n,0,0,0,0,2,1,0
error_f_to_n,0,0,0,0,0,0,0
