,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,4,4,4,4,4,4,4
total,1060,1060,1060,1060,1060,1060,1060
correct,965,913,826,785,615,625,880
accuracy,0.910377358490566,0.8613207547169811,0.779245283018868,0.7405660377358491,0.5801886792452831,0.589622641509434,0.8301886792452831
true_error_count,55,82,165,114,407,381,180
unknown_count,40,65,69,161,38,54,0
error_m_to_f,30,31,38,43,20,22,143
error_m_to_u,22,33,25,59,19,24,0
error_f_to_m,25,51,127,71,385,350,37
error_f_to_u,18,32,44,102,19,30,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,1,5,0
error_f_to_n,0,0,0,0,1,4,0
