,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,3,3,3,3,3,3,3
total,1060,1060,1060,1060,1060,1060,1060
correct,642,624,603,554,542,544,623
accuracy,0.6056603773584905,0.5886792452830188,0.5688679245283019,0.5226415094339623,0.5113207547169811,0.5132075471698113,0.5877358490566038
true_error_count,376,369,378,309,460,464,437
unknown_count,42,67,79,197,58,52,0
error_m_to_f,111,82,75,47,31,24,183
error_m_to_u,20,36,34,86,31,27,0
error_f_to_m,265,287,303,262,424,433,254
error_f_to_u,22,31,45,111,27,25,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,4,0
error_f_to_n,0,0,0,0,3,3,0
